sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-11EMC-3326-SM-5P9JH,-0.6873,1.59,4.045,0.6517,3.025,10.2,4.543,10.86,0.1388,5.26,9.297,7.441,5.108,3.628,7.516,7.143,6.082,0.3685,-1.149
K-562-SM-5P9EQ,-9.966,-6.506,1.88,-6.506,5.708,8.607,-4.608,12.16,2.987,5.46,11.05,7.036,4.998,5.538,8.618,8.376,7.318,-2.388,-1.595
GTEX-ZYVF-0526-SM-5E43E,-2.178,0.0158,3.098,-5.574,3.259,9.722,5.248,10.41,0.0718,6.933,12.3,6.599,5.082,3.975,8.111,7.864,6.03,-0.1187,1.576
GTEX-13X6I-1526-SM-5SIAC,-3.171,0.3796,1.501,-4.608,3.892,8.798,5.438,10.51,3.138,5.884,11.15,6.755,4.519,3.775,7.53,7.88,6.478,-2.466,1.77
TCGA-B0-5117-01,-3.047,-2.548,5.271,-0.3566,3.022,8.725,4.442,11.17,3.61,4.475,9.599,5.405,3.894,1.496,6.242,6.251,5.185,-5.012,1.227
GTEX-U3ZH-0126-SM-4DXUK,-3.047,-0.9686,0.1776,0.3907,4.064,9.251,4.633,10.49,4.435,5.722,10.94,7.16,4.539,3.588,7.715,7.794,6.371,-1.552,-0.2671
TCGA-DJ-A13R-01,-5.012,-4.608,-1.086,-2.727,2.731,8.235,1.233,9.996,1.357,3.714,10.05,5.654,3.413,1.77,6.751,6.125,4.456,-9.966,-0.3201
TCGA-DD-A116-11,-5.574,-4.293,-3.171,-0.1504,3.211,6.694,4.21,10.04,1.299,3.776,9.821,5.888,3.039,1.911,6.01,6.553,5.767,-2.635,-0.5756
TCGA-E9-A1R4-01,-1.283,5.201,3.408,0.8488,4.87,8.965,4.551,10.14,3.474,6.106,10.99,7.7,5.74,3.83,7.914,8.411,7.285,-3.816,2.302
TCGA-3U-A98F-01,0.346,-0.1828,0.2522,0.9935,5.475,8.956,6.167,10.41,0.6332,5.882,12.72,7.786,3.624,4.752,7.96,8.138,5.924,-3.171,1.486
TCGA-C5-A1MF-01,-5.012,-3.047,-2.388,-2.932,4.77,7.985,2.806,12.74,1.982,5.109,12.13,6.406,1.183,4.498,7.491,4.73,4.74,2.39,-0.9406
TCGA-77-8145-01,0.058,-0.0877,1.692,-0.5973,4.337,8.223,4.426,12.23,2.325,5.826,10.61,7.229,4.119,4.571,8.157,8.32,6.286,4.683,2.365
